,MonitorValue,SensorID,Time,raw,diff
415975,0.06,044A02,2017-09-17 10:59:22,0.06,0.0
415976,0.06,044A02,2017-09-17 10:59:33,0.06,0.0
415983,0.06,044A02,2017-09-17 10:59:43,0.06,0.0
415984,0.06,044A02,2017-09-17 10:59:54,0.07,0.010000000000000009
415991,0.06,044A02,2017-09-17 11:00:05,0.06,0.0
415992,0.06,044A02,2017-09-17 11:00:16,2.6,2.54
415999,0.06,044A02,2017-09-17 11:00:27,0.06,0.0
416000,0.06,044A02,2017-09-17 11:00:37,0.06,0.0
416007,0.06,044A02,2017-09-17 11:00:48,0.06,0.0
416008,0.06,044A02,2017-09-17 11:00:59,0.07,0.010000000000000009
416015,0.06,044A02,2017-09-17 11:01:09,0.06,0.0
416016,0.06,044A02,2017-09-17 11:01:20,25.1,25.040000000000003
416023,0.06,044A02,2017-09-17 11:01:30,0.06,0.0
416024,0.06,044A02,2017-09-17 11:01:41,0.06,0.0
416031,0.06,044A02,2017-09-17 11:01:51,0.06,0.0
416032,0.06,044A02,2017-09-17 11:02:02,0.07,0.010000000000000009
416039,0.06,044A02,2017-09-17 11:02:13,0.06,0.0
416040,0.06,044A02,2017-09-17 11:02:24,23.22,23.16
416047,0.06,044A02,2017-09-17 11:02:34,0.06,0.0
416048,0.06,044A02,2017-09-17 11:02:44,0.06,0.0
416055,0.06,044A02,2017-09-17 11:02:55,0.06,0.0
416056,0.06,044A02,2017-09-17 11:03:06,0.07,0.010000000000000009
416063,0.06,044A02,2017-09-17 11:03:16,0.06,0.0
416064,0.06,044A02,2017-09-17 11:03:27,32.59,32.53
416071,0.06,044A02,2017-09-17 11:03:37,0.06,0.0
416072,0.06,044A02,2017-09-17 11:03:48,0.06,0.0
416079,0.06,044A02,2017-09-17 11:03:59,0.06,0.0
416080,0.06,044A02,2017-09-17 11:04:09,0.07,0.010000000000000009
416087,0.06,044A02,2017-09-17 11:04:20,0.06,0.0
416088,0.06,044A02,2017-09-17 11:04:30,36.97,36.91
416095,0.06,044A02,2017-09-17 11:04:41,0.06,0.0
416096,0.06,044A02,2017-09-17 11:04:51,0.06,0.0
416103,0.06,044A02,2017-09-17 11:05:03,0.06,0.0
416104,0.06,044A02,2017-09-17 11:05:14,0.07,0.010000000000000009
416111,0.06,044A02,2017-09-17 11:05:24,0.06,0.0
416112,0.06,044A02,2017-09-17 11:05:34,98.21,98.14999999999999
416119,0.06,044A02,2017-09-17 11:05:45,0.06,0.0
416120,0.06,044A02,2017-09-17 11:05:55,0.06,0.0
416127,0.06,044A02,2017-09-17 11:06:06,0.06,0.0
416128,0.06,044A02,2017-09-17 11:06:16,0.07,0.010000000000000009
416135,0.06,044A02,2017-09-17 11:06:27,0.06,0.0
416136,0.06,044A02,2017-09-17 11:06:37,70.09,70.03
416143,0.06,044A02,2017-09-17 11:06:48,0.06,0.0
416144,0.06,044A02,2017-09-17 11:06:58,0.06,0.0
416151,0.06,044A02,2017-09-17 11:07:09,0.06,0.0
416152,0.06,044A02,2017-09-17 11:07:20,0.07,0.010000000000000009
416159,0.06,044A02,2017-09-17 11:07:30,0.06,0.0
416160,0.06,044A02,2017-09-17 11:07:41,57.59,57.53
416167,0.06,044A02,2017-09-17 11:07:51,0.06,0.0
416168,0.06,044A02,2017-09-17 11:08:02,0.06,0.0
416175,0.06,044A02,2017-09-17 11:08:12,0.06,0.0
416176,0.06,044A02,2017-09-17 11:08:23,0.07,0.010000000000000009
416183,0.06,044A02,2017-09-17 11:08:33,0.06,0.0
416184,0.06,044A02,2017-09-17 11:08:44,48.22,48.16
416191,0.06,044A02,2017-09-17 11:08:54,0.06,0.0
416192,0.06,044A02,2017-09-17 11:09:05,0.06,0.0
416199,0.06,044A02,2017-09-17 11:09:16,0.06,0.0
416200,0.06,044A02,2017-09-17 11:09:26,0.07,0.010000000000000009
416207,0.06,044A02,2017-09-17 11:09:36,0.06,0.0
416208,0.06,044A02,2017-09-17 11:09:47,7.6,7.54
416215,0.06,044A02,2017-09-17 11:09:57,0.06,0.0
416216,0.06,044A02,2017-09-17 11:10:08,0.06,0.0
416223,0.06,044A02,2017-09-17 11:10:19,0.06,0.0
416224,0.06,044A02,2017-09-17 11:10:29,0.08,0.020000000000000004
416231,0.06,044A02,2017-09-17 11:10:40,0.06,0.0
416232,0.06,044A02,2017-09-17 11:10:50,3.22,3.16
416239,0.06,044A02,2017-09-17 11:11:01,0.06,0.0
416240,0.06,044A02,2017-09-17 11:11:11,0.06,0.0
416247,0.06,044A02,2017-09-17 11:11:22,0.06,0.0
416248,0.06,044A02,2017-09-17 11:11:32,0.07,0.010000000000000009
416255,0.06,044A02,2017-09-17 11:11:43,0.06,0.0
416256,0.06,044A02,2017-09-17 11:11:53,1.97,1.91
416263,0.06,044A02,2017-09-17 11:12:05,0.06,0.0
416264,0.06,044A02,2017-09-17 11:12:15,0.06,0.0
416271,0.06,044A02,2017-09-17 11:12:26,0.06,0.0
416272,0.06,044A02,2017-09-17 11:12:36,0.07,0.010000000000000009
416279,0.06,044A02,2017-09-17 11:12:47,0.06,0.0
416280,0.06,044A02,2017-09-17 11:12:58,0.1,0.04000000000000001
416287,0.06,044A02,2017-09-17 11:13:09,0.06,0.0
